LUGAR,Latitude,Longitude
Entrada,"-10,6817430","-37,4364287"
Xerox,"-10,6817772","-37,4357699"
Curva Estufa,"-10,6815710","-37,4361143"
Nippec,"-10,6815766","-37,4359238"
Porta Nippec,"-10,6814860","-37,4359526"
Estufa,"-10,6814553","-37,4359154"
Curva Nippec,"-10,6815710","-37,4361143"
Encruzilhada Reforma,-10.681730,-37.436219
Acesso Rampa BlocoD,-10.681968,-37.436244
Bancos,"-10,6816329","-37,4363171"
Terreo Bloco D,"-10,6816306","-37,4364576"
008D,"-10,6817720","-37,4364562"
001D,"-10,6817641","-37,4364217"
002D,"-10,6818033","-37,4364277"
007D,"-10,6818444","-37,4364505"
006D,"-10,6818850","-37,4364438"
lafise 003D,"-10,6818790","-37,4364200"
Labimc,"-10,6818537","-37,4364143"
005D,"-10,6818645","-37,4364814"
labDEnsinoBiologia I 004,"-10,6818678","-37,4364281"
Saida Resun Bloco D,"-10,6819752","-37,4364616"
Refeitório,-10.682002,-37.436561
Banheiro M Bloco D,"-10,6815529","-37,4364619"
Banheiro F Bloco D,"-10,6815885","-37,4364321"
Entrada1andarBLOCO D,-10.681691,-37.436425
Entrada departamento superior,"-10,6815779","-37,4364817"
entrada corredor 1 sup,-10.681627,-37.436454
secretaria quimica,-10.681.597,-37.436.469
entrada corredor 2 sup,"-10,6815147","-37,4367395"
sala dosea-methanias,-10.681.660,-37.436.522
sala andre luiz e jose carlos,-10.681.611,-37.436.518
sala maily e alcides,-10.681.634,-37.436.558
sala joseval e raphael,-10.681.610,-37.436.557
Almoxarifadoo provisorio,-10.681.620,-37.436.560
sala nirly e joao paulo,-10.681.636,-37.436.471
sala marcelo e victor,-10.681.618,-37.436.551
sala andre vini e andres ignacio,-10.681.613,-37.436.540
sala jose aelio,-10.681.635,-37.436.579
secretaria dsi,-10.681.624,-37.436.564
Adriana e vilma ,"-10,6815413","-37,4365736"
sala beto vianna,"-10,681542","-37,4365726"
secretaria letras,"-10,6815334","-37,4366514"
sala renata e valeria,"-10,6815443","-37,4364774"
sala luciano e ivy,"-10,6815479","-37,4364717"
sala christina e marcia,"-10,6815357","-37,4365665"
sala derli e luiz,"-10,6815318","-37,4366178"
sala fabio e jeane ,"-10,6815324","-37,4365826"
entrada escada,"-10,6815282","-37,4367419"
sala reunioes bloco d parte de baixo,"-10,6815351","-37,4367097"
sala maria  e jessica,-10.681578,-37.436398
sala gustavo e luiz bruno,-10.681636,-37.436474
sala pablo e silvia,"-10,6816000"," -37,4364569"
sala flavio e assirleide,"-10,6815911"," -37,4364683"
sala alex fabiano e juliano,"-10,6816412"," -37,4364153"
sala eder e wagner,"-10,6815822"," -37,4364093"
sala charles e viviane,-10.681561,-37.436470
