paraid,LUGAR,Latitude,Longitude,Descricao,Tags
0,Entrada,-10.6817430,-37.4364287,"Entrada principal.","Entrada"
1,Xerox,-10.6817772,-37.4357699,"Fornece serviços de cópias e impressões.","Hall"
2,Curva Estufa,-10.6815710,-37.4361143,"Curva de acesso à estufa.","Corredor"
3,Nippec,-10.6815766,-37.4359238,"Núcleo Integrado de Pós-Graduação e Pesquisa em Educação e Ciência.","Pesquisa, Corredor"
4,Porta Nippec,-10.6814860,-37.4359526,"Porta de acesso à area da Nippec.","Entrada, Corredor"
35,Estufa,-10.6814553,-37.4359154,"Estufa para cultivo de plantas, utilizada em cursos relacionados.",""
5,Curva Nippec,-10.6815710,-37.4361143,"Curva de acesso à Nippec.","Corredor"
6,Encruzilhada Reforma,-10.681730,-37.436219,"Acesso proibido devido a reforma.","Bloco D, Corredor"
34,Acesso Rampa Bloco D,-10.681968,-37.436244,"Rampa para acesso ao Bloco D.","Bloco D, Rampa"
7,Bancos,-10.6816329,-37.4363171,"Bancos para relaxamento dos alunos, em frente à entrada do Bloco D.","Bloco D, Corredor"
8,Terreo Bloco D,-10.6816306,-37.4364576,"Hall de entrada do Bloco D.","Bloco D, Entrada, Hall"
10,008D,-10.6817720,-37.4364562,"Uma das maiores Salas localizada no Bloco D, equipada com projetor, acesso a Wi-Fi e ar-condicionado.", "Bloco D, Sala de aula"
9,001D,-10.6817641,-37.4364217,"Sala de aula equipada com projetor, acesso a Wi-Fi e ar-condicionado, localizada no Bloco D.","Bloco D, Sala de aula"
11,002D,-10.6818033,-37.4364277,"Sala de aula equipada com projetor, acesso a Wi-Fi e ar-condicionado, localizada no Bloco D.","Bloco D, Sala de aula"
12,007D,-10.6818444,-37.4364505,"Sala de aula equipada com projetor, acesso a Wi-Fi e ar-condicionado, localizada no Bloco D.","Bloco D, Sala de aula"
13,006D,-10.6818850,-37.4364438,"Sala de aula equipada com projetor, acesso a Wi-Fi e ar-condicionado, localizada no Bloco D.","Bloco D, Sala de aula"
14,lafise 003D,-10.6818790,-37.4364200,"Laboratório de Fisiologia de Sementes.","Bloco D, Departamento, Laboratório, Biologia"
15,Labimc,-10.6818537,-37.4364143,"Laboratório de Bioquímica e Microbiologia.","Bloco D, Departamento, Laboratório, Biologia, Química"
16,005D,-10.6818645,-37.4364814,"Sala de aula equipada com projetor, acesso a Wi-Fi e ar-condicionado, localizada no Bloco D.","Bloco D, Sala de aula"
17,Laboratório de Ensino Biologia I 004,-10.6818678,-37.4364281,"Laboratório utilizado para a área de Biologia.","Bloco D, Departamento, Laboratório, Biologia"
18,Saida Resun Bloco D,-10.6819752,-37.4364616,"Saída do Bloco D para acesso ao Resun.","Bloco D, Resun"
33,Refeitório,-10.682002,-37.436561,"Restaurante Universitário da Universidade Federal de Sergipe.","Resun"
19,Banheiro M Bloco D,-10.6815529,-37.4364619,"Banheiro masculino localizado no Bloco D.","Bloco D, Banheiro"
20,Banheiro F Bloco D,-10.6815885,-37.4364321,"Banheiro feminino localizado no Bloco D.","Bloco D, Banheiro"
21,Entrada 1 andar BLOCO D,-10.681691,-37.436425,"Entrada de escada para acesso ao primeiro andar, com hall para estudos, localizada no Bloco D.","Bloco D, Entrada, Escada, Hall"
30,Entrada departamento superior,-10.6815779,-37.4364817,"Entrada de acesso aos departamentos superios, localizada no Bloco D.","Bloco D, Departamento, Corredor"
31,Entrada corredor 1 superior,-10.681627,-37.436454,"Entradas para os departamentos de Sistemas de Informação e contabilidade, localizadas no Bloco D.","Bloco D, Entrada, Corredor, Departamento, Sistemas de informação, Contabilidade"
114,Secretaria quimica,-10.681597,-37.436469,"Secretaria do Departamento de Química, localizada no Bloco D.","Bloco D, Corredor, Departamento, Secretaria, Quimica"
115,Entrada corredor 2 superior,-10.6815147,-37.4367395,"Entradas para os departamentos de Letras e Matemática, localizadas no Bloco D.","Bloco D, Corredor, Departamento, Letras, Matemática"
105,Sala dosea-methanias,-10.681660,-37.436522,"Sala dos professores Marcos Dósea e Methanias Colaço, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Sistemas de informação"
98,Sala andre luiz/jose carlos,-10.81611,-37.436518,"Sala dos professores André Luís e José Carlos, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Sistemas de informação"
107,maily/alcides,-10.681634,-37.436558,"Sala dos professores Mai-Ly Vanessa e Alcides Xavier, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Sistemas de informação"
108,Sala Joseval/raphael,-10.681610,-37.436557,"Sala dos professores Joseval Santana e Raphael Oliveira, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Sistemas de informação"
100,Almoxarifado provisorio,-10.681620,-37.436560,"Local provisório para armazenamento e gestão de materiais e suprimentos, localizado no Bloco D.","Bloco D, Corredor, Almoxarifado"
101,Sala nirly/joao paulo,-10.681636,-37.436471,"Sala dos professores Nirly dos Reis e João Paulo Lima, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Química"
106,Sala marcelo/victor,-10.681618,-37.436551,"Sala dos professores Marcelo leite e Victor Sarmento, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Química"
104,Sala andre vini/andres ignacio,-10.681613,-37.436540,"Sala dos professores André Vinícius e Andrés Ignácio, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Sistemas de informação"
103,Sala jose aelio,-10.681635,-37.436579,"Sala do professor José Aélio, localizado no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Sistemas de informação"
102,Secretaria dsi,-10.681624,-37.436564,"Secretaria do Departamento de Sistemas de Informação, localizada no Bloco D.","Bloco D, Corredor, Departamento, Secretaria, Sistemas de informação"
138,Sala Adriana/vilma,-10.6815413,-37.4365736,"Sala dos professores Adriana Sacramento e Vilma Mota, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Letras"
136,Sala beto vianna,-10.681542,-37.4365726,"Sala do professor Beto Vianna, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Letras"
116,Secretaria letras,-10.6815334,-37.4366514,"Secretaria do Departamento de Letras, localizada no Bloco D.","Bloco D, Corredor, Departamento, Secretaria, Letras"
135,Sala Renata/valeria,-10.6815443,-37.4364774,"Sala dos professores Renata Kaminski e Valéria de Barros, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Química"
125,Sala Luciano/ivy,-10.6815479,-37.4364717,"Sala dos professores Luciano Fraga e Ivy Nobre, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Química"
126,Sala Christina/marcia,-10.6815357,-37.4365665,"Sala dos professores Christina Ramalho e Márcia Regina, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Letras"
127,Sala Derli/luiz,-10.6815318,-37.4366178,"Sala dos professores Derli de Oliveira e Luiz Costa, localizada no Bloco D.","Bloco D, Corredor, Departamento, Sala Professor, Letras"
